"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000034282.3",1271.90206852309,6.82410973545413,0.21566869457641,31.6416332414735,9.88463888536673e-220,1.11723876734881e-216
"ENSMUSG00000074796.10",898.359035670728,4.28280103148282,0.136171803158705,31.4514527393847,4.00995717687542e-217,4.29381993492265e-214
"ENSMUSG00000028435.8",1004.88160690295,6.26001960362487,0.199958625028477,31.3065745612791,3.79753595078865e-215,3.86304344593975e-212
"ENSMUSG00000042793.13",1011.88191730262,4.18026435027334,0.134963837054383,30.9732180227576,1.23713504227109e-210,1.19854821119073e-207
"ENSMUSG00000049382.9",5948.28643956436,10.8790765135871,0.353986557170533,30.733021616824,2.06188455110846e-207,1.90677459965008e-204
"ENSMUSG00000063450.14",2048.62808268089,3.45981708747548,0.11333815804856,30.5264982865973,1.15992279170466e-204,1.02602735640136e-201
"ENSMUSG00000022871.12",1112.38469953911,6.6512720713154,0.221436435660517,30.0369361143098,3.23412476286072e-198,2.74159451251672e-195
"ENSMUSG00000020788.15",2132.84000712316,8.78716998926065,0.294637540031649,29.8236605841766,1.92805795736297e-195,1.56905356570199e-192
"ENSMUSG00000025432.11",1261.21543884256,6.46564930611544,0.218877625974842,29.5400193478826,8.82233270928915e-192,6.90347534501876e-189
"ENSMUSG00000060716.6",860.554315855613,6.77027154471328,0.238984809160534,28.3292966130139,1.50609929948702e-176,1.13487371289124e-173
"ENSMUSG00000003153.10",1027.44028348577,4.76772819402135,0.169413889965228,28.1424869885222,2.96147894123518e-174,2.15183175212249e-171
"ENSMUSG00000037185.8",973.048069833705,4.85211159501946,0.173680115400889,27.9370587923655,9.46865048722901e-172,6.64274807457497e-169
"ENSMUSG00000040703.11",1377.21434663724,7.28047861870094,0.261090275219284,27.8849092046275,4.06661626199851e-171,2.75784359501199e-168
"ENSMUSG00000048699.4",2473.88818682082,9.61216305722893,0.347626960587154,27.6507985485178,2.7297657394388e-168,1.79151883770588e-165
"ENSMUSG00000038295.14",635.386634350728,5.233839529553,0.190634747898563,27.4548034251233,6.08821592851952e-166,3.87077353330405e-163
"ENSMUSG00000012350.15",1210.0899431798,7.69312260402522,0.28264647950971,27.2181794635123,3.95785307397486e-163,2.44007638757632e-160
"ENSMUSG00000024421.16",662.337839744733,5.82700549862105,0.214888876670671,27.1163663233776,6.31444300984314e-162,3.7784512657429e-159
"ENSMUSG00000048373.8",882.556017228567,7.23580714120485,0.279935463585275,25.8481260235206,2.55404553034865e-147,1.48463018042695e-144
"ENSMUSG00000022123.8",686.081446283155,4.58438130043044,0.178577803104325,25.671618872768,2.42575213722876e-145,1.37088686755331e-142
"ENSMUSG00000043439.5",663.075347931183,5.18430806671485,0.204930355982273,25.2979020207397,3.36862781093927e-141,1.85229007604215e-138
